aw_product_id,product_id,product_name,description,brand_name,merchant_category,image_url,deep_link,price,currency,delivery_cost,in_stock,valid_from,valid_to,contract_type,term,initial_cost,month_cost,gift,inc_minutes,inc_texts,inc_data,connectivity,tariff,storage_size,special_offer,network,operating_system
710001,"BTC-SIM-10GB-1M","BetaConnect 10GB Rolling SIM","Rolling 10GB plan with unlimited texts and mins","BetaConnect","SIM Only","https://cdn.betaconnect.com/sim10.jpg","https://betaconnect.com/sim-10gb",8.00,"GBP",0.00,1,"2025-01-01","2025-06-30","SIM Only",1,0.00,8.00,"None",9999,9999,10,"4G/5G","Unlimited + 10GB","N/A","Cancel anytime","BetaConnect","N/A"
710002,"BTC-SIM-60GB-12M","BetaConnect 60GB SIM 12M","Medium-high tier SIM plan with hotspot","BetaConnect","SIM Only","https://cdn.betaconnect.com/sim60.jpg","https://betaconnect.com/sim-60gb-12m",14.00,"GBP",0.00,1,"2025-02-01","2025-10-31","SIM Only",12,0.00,14.00,"£10 bill credit",9999,9999,60,"5G","Unlimited + 60GB","N/A","Double data first month","BetaConnect","N/A"
710003,"BTC-SIM-150GB-12M","BetaConnect 150GB SIM 12M","Large data-heavy SIM plan","BetaConnect","SIM Only","https://cdn.betaconnect.com/sim150.jpg","https://betaconnect.com/sim-150gb-12m",20.00,"GBP",0.00,1,"2025-03-15","2025-12-31","SIM Only",12,0.00,20.00,"£25 voucher",9999,9999,150,"5G","Unlimited + 150GB","N/A","Weekend unlimited data","BetaConnect","N/A"
710004,"BTC-SIM-3GB-1M","BetaConnect 3GB Starter SIM","Low-cost 3GB rolling SIM","BetaConnect","SIM Only","https://cdn.betaconnect.com/sim3.jpg","https://betaconnect.com/sim-3gb",4.00,"GBP",0.00,1,"2025-01-05","2025-05-31","SIM Only",1,0.00,4.00,"None",300,500,3,"4G","300 mins + 500 texts + 3GB","N/A","None","BetaConnect","N/A"
710005,"BTC-SIM-25GB-6M","BetaConnect 25GB SIM 6M","Short-term 25GB SIM contract","BetaConnect","SIM Only","https://cdn.betaconnect.com/sim25.jpg","https://betaconnect.com/sim-25gb-6m",9.00,"GBP",0.00,1,"2025-02-10","2025-12-31","SIM Only",6,0.00,9.00,"None",2000,9999,25,"4G/5G","2000 mins + unlimited texts + 25GB","N/A","Intro price for 3 months","BetaConnect","N/A"
710006,"BTC-SIM-80GB-1M","BetaConnect 80GB Rolling SIM","Rolling 80GB SIM with tethering","BetaConnect","SIM Only","https://cdn.betaconnect.com/sim80.jpg","https://betaconnect.com/sim-80gb",16.00,"GBP",0.00,1,"2025-03-01","2025-12-31","SIM Only",1,0.00,16.00,"None",9999,9999,80,"5G","Unlimited + 80GB","N/A","Cancel anytime","BetaConnect","N/A"
710007,"BTC-SIM-500GB-12M","BetaConnect 500GB SIM 12M","Super heavy-use 500GB SIM plan","BetaConnect","SIM Only","https://cdn.betaconnect.com/sim500.jpg","https://betaconnect.com/sim-500gb-12m",30.00,"GBP",0.00,1,"2025-04-01","2025-12-31","SIM Only",12,0.00,30.00,"£40 bill credit",9999,9999,500,"5G","Unlimited + 500GB","N/A","Streaming boost included","BetaConnect","N/A"
710008,"BTC-SIM-5GB-12M","BetaConnect 5GB SIM 12M","Entry-level 5GB SIM on 12M contract","BetaConnect","SIM Only","https://cdn.betaconnect.com/sim5.jpg","https://betaconnect.com/sim-5gb-12m",6.00,"GBP",0.00,1,"2025-01-20","2025-12-31","SIM Only",12,0.00,6.00,"None",1000,2000,5,"4G","1000 mins + 2000 texts + 5GB","N/A","None","BetaConnect","N/A"
710009,"BTC-SIM-40GB-1M","BetaConnect 40GB Rolling SIM","Flexible 40GB monthly rolling SIM","BetaConnect","SIM Only","https://cdn.betaconnect.com/sim40.jpg","https://betaconnect.com/sim-40gb",11.00,"GBP",0.00,1,"2025-02-25","2025-12-31","SIM Only",1,0.00,11.00,"None",9999,9999,40,"4G/5G","Unlimited + 40GB","N/A","Cancel anytime","BetaConnect","N/A"
710010,"BTC-SIM-UNL-12M","BetaConnect Unlimited SIM 12M","Unlimited 5G SIM-only contract","BetaConnect","SIM Only","https://cdn.betaconnect.com/simunl.jpg","https://betaconnect.com/sim-unlimited-12m",26.00,"GBP",0.00,1,"2025-03-20","2025-12-31","SIM Only",12,0.00,26.00,"£30 voucher",9999,9999,999,"5G","Unlimited","N/A","Roaming add-on discount","BetaConnect","N/A"
